application_id,review_stage,review_status,score,community_priority,equity_score,reviewed_at,review_version,panel_code
A26-7535,screening,complete,86,85,61,2026-03-07T16:00-08:00,1,P-A
A26-3722,screening,complete,71,88,68,2026-03-07T12:00-08:00,1,P-D
A26-1099,screening,complete,89,71,61,2026-03-04T12:00-08:00,1,P-A
A26-5164,final,complete,92,73,87,2026-03-19T10:40-07:00,1,P-C
A26-5152,final,complete,77,76,84,2026-03-16T16:40-07:00,1,P-B
A26-5024,screening,complete,96,69,97,2026-03-06T09:00-08:00,1,P-D
A26-5173,screening,complete,75,79,71,2026-03-04T13:00-08:00,1,P-C
A26-7725,screening,complete,68,94,98,2026-03-08T11:00-08:00,1,P-C
A26-3179,screening,complete,77,65,67,2026-03-03T15:00-08:00,1,P-C
A26-5006,final,complete,85,91,98,2026-03-14T15:40-07:00,1,P-D
A26-7705,screening,complete,77,68,83,2026-03-06T09:00-08:00,1,P-B
A26-5010,screening,complete,93,77,78,2026-03-04T16:00-08:00,1,P-C
A26-4318,final,pending,81,82,85,2026-03-15T12:00-07:00,1,P-D
A26-1773,final,complete,76,81,78,2026-03-18T09:40-07:00,1,P-A
A26-5111,screening,complete,66,77,99,2026-03-08T14:00-08:00,1,P-A
A26-9230,final,complete,95,99,73,2026-03-14T15:00-07:00,1,P-C
A26-4218,final,complete,97,95,94,2026-03-13T11:00-07:00,1,P-D
A26-3095,screening,complete,78,76,96,2026-03-03T11:00-08:00,1,P-C
A26-1069,screening,complete,68,95,95,2026-03-01T15:00-08:00,1,P-D
A26-5160,final,complete,90,86,86,2026-03-15T16:40-07:00,1,P-D
A26-9690,final,complete,77,90,87,2026-03-23T13:20-07:00,1,P-C
A26-8377,final,complete,88,75,72,2026-03-09T12:20-07:00,1,P-A
A26-5156,screening,complete,65,68,90,2026-03-02T12:00-08:00,1,P-D
A26-0994,screening,complete,,65,68,2026-03-06T12:00-08:00,1,P-B
A26-2482,final,complete,80,83,83,2026-03-14T09:40-07:00,1,P-C
A26-5066,screening,complete,70,92,74,2026-03-04T09:00-08:00,1,P-A
A26-5175,final,complete,99,78,96,2026-03-28T11:00-07:00,1,P-D
A26-5669,final,complete,91,90,96,2026-03-05T16:20-07:00,1,P-D
A26-0934,final,complete,83,98,77,2026-03-12T11:00-07:00,1,P-B
A26-1243,final,complete,81,84,96,2026-03-15T13:20-07:00,1,P-B
A26-5099,final,complete,69,99,78,2026-03-04T11:00-07:00,1,P-D
A26-1154,final,complete,76,76,77,2026-03-23T14:40-07:00,1,P-C
A26-4873,final,complete,72,87,74,2026-03-12T11:00-07:00,1,P-C
A26-2807,final,complete,81,73,93,2026-03-15T13:00-07:00,1,P-C
A26-5131,screening,complete,86,70,67,2026-03-07T16:00-08:00,1,P-C
A26-0015,final,complete,85,75,94,2026-03-14T16:00-07:00,1,P-D
A26-2157,final,complete,75,83,99,2026-03-17T17:40-07:00,1,P-B
A26-9928,final,complete,79,91,73,2026-03-19T11:20-07:00,1,P-B
A26-5073,final,complete,79,89,75,2026-03-06T16:00-07:00,1,P-D
A26-5150,screening,complete,90,83,69,2026-03-04T16:00-08:00,1,P-B
A26-5080,screening,complete,63,82,79,2026-03-02T16:00-08:00,1,P-C
A26-5169,final,complete,75,79,90,2026-03-23T13:20-07:00,1,P-D
A26-6031,final,pending,87,94,80,2026-03-22T17:00-07:00,1,P-C
A26-6617,final,pending,82,98,84,2026-03-21T13:20-07:00,1,P-D
A26-5109,final,complete,67,92,82,2026-03-09T10:00-07:00,1,P-D
A26-9525,final,complete,91,83,79,2026-03-17T17:00-07:00,1,P-D
A26-5058,final,complete,81,90,90,2026-03-22T09:40-07:00,1,P-D
A26-9115,final,complete,77,84,78,2026-03-19T16:20-07:00,1,P-D
A26-5063,final,pending,84,86,93,2026-03-21T13:40-07:00,1,P-C
A26-4318,final,complete,85,82,85,2026-03-28T11:00-07:00,1,P-D
A26-8836,final,pending,88,83,83,2026-03-22T14:40-07:00,1,P-D
A26-0646,final,complete,85,92,93,2026-03-17T10:00-07:00,1,P-D
A26-3425,screening,complete,64,95,91,2026-03-03T09:00-08:00,1,P-B
A26-1001,screening,complete,55,74,71,2026-03-06T14:00-08:00,1,P-B
A26-2977,final,complete,72,80,75,2026-03-10T16:20-07:00,1,P-B
A26-8854,screening,complete,92,79,99,2026-03-08T11:00-08:00,1,P-D
A26-4608,screening,complete,66,77,79,2026-03-05T15:00-08:00,1,P-C
A26-4804,screening,complete,56,82,69,2026-03-03T13:00-08:00,1,P-A
A26-2739,final,complete,72,98,85,2026-03-14T15:40-07:00,1,P-B
A26-3815,final,complete,86,98,86,2026-03-13T13:40-07:00,1,P-B
A26-1270,final,complete,85,90,76,2026-03-23T16:40-07:00,1,P-A
A26-3657,final,complete,70,78,90,2026-03-11T17:20-07:00,1,P-A
A26-5089,screening,complete,97,65,76,2026-03-02T11:00-08:00,1,P-C
A26-5176,final,pending,77,95,75,2026-03-12T10:40-07:00,1,P-C
A26-6575,screening,complete,84,95,72,2026-03-02T09:00-08:00,1,P-C
A26-4264,final,complete,82,74,96,2026-03-23T16:40-07:00,1,P-B
A26-5010,final,complete,85,77,95,2026-03-15T09:20-07:00,1,P-A
A26-6289,final,complete,84,92,85,2026-03-17T11:00-07:00,1,P-A
A26-5373,final,complete,81,72,95,2026-03-16T17:00-07:00,1,P-B
A26-3355,final,complete,92,89,82,2026-03-13T17:40-07:00,1,P-A
A26-0199,screening,complete,83,90,60,2026-03-06T11:00-08:00,1,P-A
A26-5182,final,complete,81,79,86,2026-03-13T16:00-07:00,1,P-C
A26-5003,screening,complete,92,68,77,2026-03-03T14:00-08:00,1,P-A
A26-4394,final,complete,76,90,87,2026-03-15T09:20-07:00,1,P-B
A26-1145,final,complete,92,82,71,2026-03-20T15:40-07:00,1,P-B
A26-5161,final,complete,75,89,73,2026-03-22T17:40-07:00,1,P-C
A26-1206,screening,complete,95,80,61,2026-03-03T09:00-08:00,1,P-B
A26-5070,screening,complete,87,85,77,2026-03-07T10:00-08:00,1,P-A
A26-5239,final,complete,81,72,90,2026-03-13T12:00-07:00,1,P-C
A26-6280,final,complete,88,97,91,2026-03-20T16:40-07:00,1,P-A
A26-5092,final,complete,89,84,83,2026-03-17T12:00-07:00,1,P-C
A26-0188,screening,complete,88,69,68,2026-03-07T12:00-08:00,1,P-C
A26-8377,final,complete,81,73,74,2026-03-16T12:20-07:00,1,P-A
A26-2381,screening,complete,76,97,85,2026-03-04T10:00-08:00,1,P-D
A26-8931,screening,complete,82,71,76,2026-03-07T12:00-08:00,1,P-D
A26-6094,final,complete,73,88,73,2026-03-13T13:20-07:00,1,P-C
A26-5164,final,complete,88,74,84,2026-03-11T10:40-07:00,1,P-A
A26-5066,final,complete,81,95,83,2026-03-22T14:20-07:00,1,P-B
A26-4010,screening,complete,82,71,69,2026-03-05T10:00-08:00,1,P-C
A26-2800,final,complete,74,91,92,2026-03-12T13:20-07:00,1,P-B
A26-5396,final,complete,85,88,84,2026-03-17T09:20-07:00,1,P-B
A26-5078,screening,complete,63,83,61,2026-03-05T12:00-08:00,1,P-A
A26-5168,final,complete,84,75,75,2026-03-08T11:00-07:00,1,P-B
A26-5100,final,complete,77,82,75,2026-03-15T12:40-07:00,1,P-C
A26-7082,screening,complete,67,76,74,2026-03-01T09:00-08:00,1,P-C
A26-3657,final,complete,75,82,90,2026-03-13T17:20-07:00,1,P-B
A26-9525,final,complete,85,79,81,2026-03-14T17:00-07:00,1,P-B
A26-4732,screening,complete,70,90,65,2026-03-07T10:00-08:00,1,P-B
A26-5052,final,complete,80,72,96,2026-03-16T15:40-07:00,1,P-D
A26-5040,screening,complete,98,68,76,2026-03-08T09:00-08:00,1,P-A
A26-4318,final,complete,89,86,85,2026-03-08T12:00-07:00,1,P-D
A26-3635,screening,complete,72,68,74,2026-03-05T12:00-08:00,1,P-B
A26-8285,final,complete,94,84,92,2026-03-28T11:00-07:00,1,P-D
A26-8205,final,complete,83,76,91,2026-03-23T11:40-07:00,2,P-D
A26-5069,screening,complete,77,73,81,2026-03-04T16:00-08:00,1,P-A
A26-8681,final,complete,75,91,70,2026-03-17T11:00-07:00,1,P-A
A26-2370,final,complete,97,96,94,2026-03-14T17:20-07:00,1,P-B
A26-2211,screening,complete,78,98,86,2026-03-04T13:00-08:00,1,P-D
A26-5373,final,complete,82,69,95,2026-03-08T17:00-07:00,1,P-D
A26-5175,final,complete,99,74,93,2026-03-12T12:00-07:00,1,P-B
A26-5669,final,complete,83,89,93,2026-03-13T16:20-07:00,1,P-C
A26-5274,final,complete,99,93,90,2026-03-11T17:20-07:00,1,P-B
A26-2606,screening,complete,58,68,97,2026-03-06T11:00-08:00,1,P-B
A26-9834,final,complete,79,92,71,2026-03-13T09:00-07:00,1,P-D
A26-0241,final,complete,77,79,89,2026-03-13T11:00-07:00,1,P-C
A26-8645,screening,complete,68,91,66,2026-03-07T16:00-08:00,1,P-B
A26-9797,final,complete,76,87,86,2026-03-22T12:40-07:00,1,P-D
A26-1357,screening,complete,79,91,67,2026-03-02T15:00-08:00,1,P-A
A26-2159,final,complete,81,83,80,2026-03-20T12:20-07:00,1,P-A
A26-3848,final,complete,89,81,90,2026-03-19T16:20-07:00,1,P-C
A26-5150,final,pending,81,75,98,2026-03-19T15:00-07:00,1,P-D
A26-9624,final,complete,93,82,81,2026-03-21T09:00-07:00,1,P-D
A26-9458,screening,complete,59,65,91,2026-03-04T16:00-08:00,1,P-B
A26-5116,screening,complete,97,71,94,2026-03-01T09:00-08:00,1,P-D
A26-5031,screening,complete,84,92,95,2026-03-05T15:00-08:00,1,P-B
A26-5011,final,complete,91,89,79,2026-03-11T14:40-07:00,1,P-C
A26-2542,final,complete,72,94,93,2026-03-17T10:00-07:00,1,P-B
A26-5001,screening,complete,66,96,68,2026-03-05T15:00-08:00,1,P-C
A26-5150,final,complete,81,77,99,2026-03-13T15:00-07:00,1,P-A
A26-4054,final,complete,86,98,91,2026-03-18T17:20-07:00,1,P-B
A26-5138,final,complete,79,92,90,2026-03-14T13:20-07:00,1,P-B
A26-1881,final,complete,85,93,85,2026-03-21T10:20-07:00,1,P-B
A26-5067,final,complete,82,86,78,2026-03-17T17:00-07:00,1,P-B
A26-5993,screening,complete,97,65,97,2026-03-04T14:00-08:00,1,P-C
A26-0122,final,pending,85,83,97,2026-03-23T11:20-07:00,1,P-A
A26-5015,screening,complete,58,91,60,2026-03-04T15:00-08:00,1,P-C
A26-5177,final,complete,86,83,76,2026-03-19T15:20-07:00,1,P-C
A26-2531,screening,complete,61,87,69,2026-03-04T16:00-08:00,1,P-C
A26-5086,final,complete,85,94,87,2026-03-15T10:00-07:00,1,P-D
A26-6723,final,complete,89,74,71,2026-03-13T11:00-07:00,1,P-D
A26-5049,screening,complete,63,90,88,2026-03-06T15:00-08:00,1,P-A
A26-1258,screening,complete,56,68,65,2026-03-05T10:00-08:00,1,P-C
A26-8229,final,pending,86,96,82,2026-03-21T13:00-07:00,1,P-A
A26-9933,final,complete,87,88,96,2026-03-12T16:20-07:00,1,P-C
A26-9834,final,complete,78,91,70,2026-03-07T09:00-07:00,1,P-A
A26-7528,final,complete,88,90,72,2026-03-28T11:00-07:00,1,P-D
A26-8309,screening,complete,83,65,93,2026-03-08T16:00-08:00,1,P-C
A26-2064,final,complete,84,81,73,2026-03-16T11:40-07:00,1,P-D
A26-0309,final,complete,74,88,75,2026-03-10T16:40-07:00,1,P-A
A26-5117,screening,complete,84,89,89,2026-03-01T11:00-08:00,1,P-D
A26-5075,screening,complete,56,94,87,2026-03-02T13:00-08:00,1,P-D
A26-5141,final,complete,75,82,84,2026-03-22T10:00-07:00,1,P-C
A26-2933,final,complete,90,74,89,2026-03-23T10:20-07:00,1,P-B
A26-1145,final,complete,88,82,71,2026-03-28T11:00-07:00,1,P-D
A26-7535,final,complete,92,98,84,2026-03-18T13:00-07:00,2,P-C
A26-5011,final,complete,87,86,78,2026-03-13T14:40-07:00,1,P-D
A26-0622,final,complete,88,78,82,2026-03-11T11:20-07:00,1,P-B
A26-7612,final,complete,83,96,83,2026-03-22T10:00-07:00,1,P-B
A26-2542,final,complete,79,96,91,2026-03-11T10:00-07:00,1,P-D
A26-0126,final,complete,75,88,94,2026-03-18T09:40-07:00,1,P-C
A26-3907,final,complete,86,80,73,2026-03-17T11:20-07:00,1,P-B
A26-2233,final,pending,87,98,94,2026-03-15T16:40-07:00,1,P-C
A26-5145,final,complete,87,77,75,2026-03-10T15:00-07:00,1,P-D
A26-8681,screening,complete,69,88,87,2026-03-05T14:00-08:00,1,P-C
A26-5082,final,complete,90,92,86,2026-03-08T11:40-07:00,1,P-A
A26-5180,final,complete,74,89,89,2026-03-14T15:00-07:00,1,P-C
A26-3984,screening,complete,82,85,86,2026-03-07T12:00-08:00,1,P-A
A26-5142,final,complete,92,78,77,2026-03-12T15:00-07:00,1,P-C
A26-6127,final,complete,89,95,90,2026-03-17T15:00-07:00,1,P-A
A26-1732,screening,complete,93,83,76,2026-03-06T15:00-08:00,1,P-C
A26-5006,final,complete,79,87,96,2026-03-07T15:40-07:00,1,P-A
A26-4057,screening,complete,84,69,76,2026-03-02T12:00-08:00,1,P-B
A26-1970,final,complete,92,87,80,2026-03-15T17:40-07:00,1,P-D
A26-5129,final,pending,88,73,97,2026-03-21T12:00-07:00,1,P-C
A26-1723,final,complete,71,93,93,2026-03-15T10:00-07:00,1,P-D
A26-8629,screening,complete,84,69,72,2026-03-08T09:00-08:00,1,P-D
A26-5147,final,complete,82,80,88,2026-03-23T17:00-07:00,1,P-C
A26-6046,final,complete,75,84,96,2026-03-13T15:00-07:00,1,P-D
A26-0188,final,complete,87,78,87,2026-03-16T17:20-07:00,1,P-B
A26-9269,screening,complete,87,80,85,2026-03-01T11:00-08:00,1,P-B
A26-5578,final,complete,88,94,87,2026-03-19T13:40-07:00,1,P-D
A26-9797,screening,complete,66,93,89,2026-03-07T16:00-08:00,1,P-C
A26-9555,final,complete,73,76,93,2026-03-14T13:40-07:00,1,P-B
A26-0166,screening,complete,61,98,92,2026-03-02T13:00-08:00,1,P-C
A26-1343,screening,complete,57,94,67,2026-03-08T11:00-08:00,1,P-B
A26-5052,final,complete,86,75,94,2026-03-28T11:00-07:00,1,P-D
A26-4804,final,complete,91,89,73,2026-03-21T15:20-07:00,1,P-D
A26-5893,screening,complete,70,83,81,2026-03-03T14:00-08:00,1,P-C
A26-7239,final,pending,83,91,73,2026-03-14T09:00-07:00,1,P-A
A26-4453,final,complete,94,94,95,2026-03-13T17:00-07:00,1,P-C
A26-2211,final,complete,86,98,75,2026-03-18T17:20-07:00,2,P-A
A26-8002,final,complete,92,92,79,2026-03-18T11:00-07:00,2,P-B
A26-9933,final,complete,83,86,92,2026-03-06T16:20-07:00,1,P-A
A26-1243,screening,complete,97,82,65,2026-03-07T11:00-08:00,1,P-C
A26-5036,final,complete,74,98,72,2026-03-17T12:00-07:00,1,P-B
A26-5100,final,complete,71,83,71,2026-03-07T12:40-07:00,1,P-B
A26-5012,final,complete,73,75,75,2026-03-23T17:40-07:00,1,P-C
A26-8285,final,complete,88,84,92,2026-03-18T17:40-07:00,1,P-B
A26-3512,final,complete,78,72,97,2026-03-12T17:00-07:00,1,P-C
A26-6752,final,complete,91,91,79,2026-03-19T16:20-07:00,1,P-C
A26-1830,final,complete,89,74,96,2026-03-28T11:00-07:00,1,P-D
A26-0307,final,complete,85,79,94,2026-03-17T11:40-07:00,1,P-B
A26-5044,final,complete,99,91,76,2026-03-10T14:00-07:00,1,P-D
A26-9726,final,complete,90,93,79,2026-03-12T11:00-07:00,1,P-B
A26-7117,final,complete,78,85,80,2026-03-28T11:00-07:00,1,P-D
A26-5180,screening,complete,92,84,93,2026-03-02T13:00-08:00,1,P-A
A26-5120,final,complete,87,84,80,2026-03-18T12:40-07:00,1,P-B
A26-4333,final,complete,73,92,90,2026-03-21T16:00-07:00,1,P-D
A26-1380,final,complete,78,92,81,2026-03-17T15:20-07:00,2,P-C
A26-5129,screening,complete,81,77,82,2026-03-01T15:00-08:00,1,P-A
A26-5125,final,complete,92,92,78,2026-03-16T09:00-07:00,1,P-B
A26-8910,final,complete,73,73,83,2026-03-16T16:00-07:00,2,P-C
A26-6312,final,complete,81,82,97,2026-03-19T11:00-07:00,1,P-A
A26-0408,final,complete,73,76,70,2026-03-13T11:40-07:00,1,P-D
A26-5145,final,complete,85,78,72,2026-03-15T15:00-07:00,1,P-C
A26-2434,screening,complete,57,92,74,2026-03-07T09:00-08:00,1,P-B
A26-5183,screening,complete,77,81,64,2026-03-06T14:00-08:00,1,P-C
A26-5023,screening,complete,64,96,74,2026-03-05T13:00-08:00,1,P-A
A26-2278,final,complete,74,74,86,2026-03-19T10:00-07:00,1,P-D
A26-2064,final,complete,84,82,74,2026-03-19T11:40-07:00,1,P-D
A26-7651,final,complete,91,72,93,2026-03-22T11:00-07:00,1,P-B
A26-5110,final,complete,82,90,88,2026-03-19T09:40-07:00,1,P-A
A26-0620,screening,complete,61,74,90,2026-03-02T09:00-08:00,1,P-D
A26-3512,final,complete,79,76,93,2026-03-09T17:00-07:00,1,P-A
A26-5020,final,complete,77,84,79,2026-03-15T09:00-07:00,1,P-B
A26-5112,screening,complete,84,83,97,2026-03-02T09:00-08:00,1,P-B
A26-5084,final,complete,99,74,99,2026-03-19T13:20-07:00,1,P-C
A26-5183,final,complete,92,92,73,2026-03-14T13:20-07:00,1,P-D
A26-5019,final,complete,88,98,96,2026-03-10T17:00-07:00,1,P-A
A26-1158,final,complete,78,94,98,2026-03-15T13:20-07:00,1,P-C
A26-2278,screening,complete,98,74,71,2026-03-01T10:00-08:00,1,P-B
A26-6359,final,complete,83,79,92,2026-03-21T10:00-07:00,1,P-A
A26-2542,screening,complete,73,65,67,2026-03-07T14:00-08:00,1,P-D
A26-0307,screening,complete,91,89,77,2026-03-07T12:00-08:00,1,P-A
A26-6401,final,complete,76,88,83,2026-03-15T17:20-07:00,1,P-D
A26-0817,screening,complete,86,66,75,2026-03-07T13:00-08:00,1,P-C
A26-5072,final,complete,73,88,86,2026-03-12T10:20-07:00,1,P-A
A26-7367,final,complete,87,84,91,2026-03-13T15:40-07:00,1,P-C
A26-5134,final,complete,99,90,85,2026-03-09T09:00-07:00,1,P-B
A26-4984,final,complete,74,93,82,2026-03-14T10:20-07:00,1,P-A
A26-4318,screening,complete,88,92,94,2026-03-04T13:00-08:00,1,P-B
A26-4793,screening,complete,95,83,78,2026-03-07T10:00-08:00,1,P-C
A26-5155,final,complete,82,80,78,2026-03-21T16:00-07:00,1,P-A
A26-2449,screening,complete,65,66,79,2026-03-07T14:00-08:00,1,P-D
A26-3095,final,complete,93,97,97,2026-03-12T16:40-07:00,1,P-D
A26-0817,final,complete,77,80,92,2026-03-19T10:00-07:00,1,P-D
A26-6031,screening,complete,62,78,65,2026-03-02T14:00-08:00,1,P-D
A26-5056,screening,complete,93,89,75,2026-03-07T11:00-08:00,1,P-C
A26-3079,screening,complete,92,88,72,2026-03-05T13:00-08:00,1,P-D
A26-4127,screening,complete,,65,73,2026-03-04T15:00-08:00,1,P-C
A26-5172,final,complete,87,80,89,2026-03-15T14:40-07:00,1,P-B
A26-9786,final,complete,73,77,90,2026-03-28T11:00-07:00,1,P-D
A26-5099,final,complete,75,96,82,2026-03-12T11:00-07:00,1,P-A
A26-2861,screening,complete,92,90,95,2026-03-07T09:00-08:00,1,P-A
A26-5094,screening,complete,87,81,94,2026-03-06T10:00-08:00,1,P-C
A26-7566,final,pending,73,84,77,2026-03-18T15:40-07:00,1,P-D
A26-0188,final,complete,90,80,87,2026-03-15T17:20-07:00,1,P-A
A26-4438,final,complete,85,91,97,2026-03-20T09:00-07:00,1,P-D
A26-0754,screening,complete,63,72,84,2026-03-05T16:00-08:00,1,P-B
A26-5093,final,complete,92,98,80,2026-03-13T15:20-07:00,2,P-A
A26-5016,final,complete,81,90,94,2026-03-20T09:40-07:00,1,P-C
A26-5490,screening,complete,58,86,67,2026-03-08T10:00-08:00,1,P-C
A26-5547,final,complete,98,86,95,2026-03-05T17:00-07:00,1,P-C
A26-8309,final,complete,94,80,98,2026-03-28T11:00-07:00,1,P-D
A26-5058,screening,complete,89,90,65,2026-03-08T11:00-08:00,1,P-C
A26-4138,final,complete,73,74,91,2026-03-19T17:40-07:00,1,P-B
A26-1145,final,complete,94,81,73,2026-03-14T15:40-07:00,1,P-C
A26-5016,screening,complete,56,92,68,2026-03-03T14:00-08:00,1,P-A
A26-8457,final,complete,99,77,73,2026-03-10T16:20-07:00,1,P-A
A26-1347,screening,complete,69,70,77,2026-03-04T11:00-08:00,1,P-C
A26-8466,screening,complete,80,98,60,2026-03-07T16:00-08:00,1,P-C
A26-3848,screening,complete,92,90,62,2026-03-06T16:00-08:00,1,P-A
A26-3405,screening,complete,67,72,62,2026-03-07T12:00-08:00,1,P-D
A26-5022,final,complete,93,83,88,2026-03-17T09:40-07:00,1,P-D
A26-9587,final,complete,89,91,79,2026-03-22T14:40-07:00,1,P-C
A26-6723,final,complete,92,74,74,2026-03-09T11:00-07:00,1,P-C
A26-0754,final,complete,74,90,74,2026-03-19T10:00-07:00,1,P-D
A26-5161,screening,complete,70,74,79,2026-03-08T10:00-08:00,1,P-D
A26-8457,final,complete,92,75,70,2026-03-18T16:20-07:00,1,P-D
A26-1548,final,complete,76,85,92,2026-03-14T14:00-07:00,1,P-D
A26-5163,screening,complete,80,77,74,2026-03-08T14:00-08:00,1,P-D
A26-4805,screening,complete,92,76,70,2026-03-03T09:00-08:00,1,P-D
A26-1176,final,complete,86,76,75,2026-03-12T17:20-07:00,1,P-B
A26-5019,screening,complete,55,72,96,2026-03-05T11:00-08:00,1,P-B
A26-2064,screening,complete,72,88,76,2026-03-06T13:00-08:00,1,P-B
A26-5116,final,complete,70,99,76,2026-03-07T12:20-07:00,1,P-C
A26-5049,final,complete,81,98,81,2026-03-22T11:00-07:00,1,P-B
A26-2434,final,complete,90,83,70,2026-03-13T17:20-07:00,1,P-D
A26-5087,final,complete,85,97,79,2026-03-17T17:40-07:00,1,P-A
A26-4862,final,complete,92,72,92,2026-03-20T17:00-07:00,1,P-B
A26-5176,screening,complete,74,71,95,2026-03-01T11:00-08:00,1,P-D
A26-6046,final,complete,78,84,96,2026-03-13T15:00-07:00,2,P-D
A26-1347,final,complete,70,91,78,2026-03-16T12:40-07:00,1,P-C
A26-5769,final,complete,84,92,87,2026-03-14T16:40-07:00,2,P-C
A26-5014,final,complete,84,87,83,2026-03-18T12:00-07:00,1,P-A
A26-1889,screening,complete,,81,63,2026-03-08T12:00-08:00,1,P-A
A26-4971,screening,complete,58,96,74,2026-03-07T12:00-08:00,1,P-D
A26-9984,screening,complete,81,76,63,2026-03-08T10:00-08:00,1,P-D
A26-5154,final,complete,76,74,80,2026-03-16T09:00-07:00,1,P-A
A26-2142,final,complete,82,87,91,2026-03-22T17:40-07:00,1,P-A
A26-9624,screening,complete,78,82,73,2026-03-07T13:00-08:00,1,P-D
A26-5162,final,pending,83,91,81,2026-03-13T11:00-07:00,1,P-D
A26-7547,screening,complete,93,98,82,2026-03-05T14:00-08:00,1,P-C
A26-5109,screening,complete,65,86,94,2026-03-08T14:00-08:00,1,P-C
A26-6126,screening,complete,72,70,70,2026-03-03T09:00-08:00,1,P-A
A26-0408,screening,complete,69,90,88,2026-03-05T16:00-08:00,1,P-C
A26-5019,final,complete,82,95,94,2026-03-12T17:00-07:00,1,P-A
A26-3722,final,complete,72,78,84,2026-03-13T17:40-07:00,1,P-D
A26-4737,screening,complete,92,97,70,2026-03-04T15:00-08:00,1,P-B
A26-0932,screening,complete,81,73,83,2026-03-04T12:00-08:00,1,P-B
A26-2449,final,complete,76,90,97,2026-03-23T12:40-07:00,1,P-C
A26-6289,final,complete,93,94,87,2026-03-28T11:00-07:00,1,P-D
A26-5054,final,complete,89,80,87,2026-03-17T10:00-07:00,1,P-C
A26-0138,screening,complete,78,89,69,2026-03-02T10:00-08:00,1,P-D
A26-2244,final,complete,88,93,90,2026-03-20T10:20-07:00,1,P-A
A26-2493,screening,complete,84,89,86,2026-03-08T09:00-08:00,1,P-D
A26-5004,screening,complete,87,99,88,2026-03-05T10:00-08:00,1,P-D
A26-0199,final,complete,93,87,73,2026-03-10T10:40-07:00,1,P-D
A26-5056,final,complete,76,80,87,2026-03-16T11:00-07:00,1,P-A
A26-7651,screening,complete,62,74,77,2026-03-05T11:00-08:00,1,P-C
A26-2807,screening,complete,64,94,97,2026-03-05T09:00-08:00,1,P-D
A26-5057,screening,complete,56,85,70,2026-03-02T09:00-08:00,1,P-A
A26-4506,final,complete,87,98,90,2026-03-12T16:40-07:00,1,P-C
A26-0003,screening,complete,93,98,74,2026-03-06T15:00-08:00,1,P-D
A26-4687,final,pending,89,78,88,2026-03-15T16:40-07:00,1,P-A
A26-1270,final,complete,93,86,73,2026-03-17T16:40-07:00,1,P-B
A26-3732,screening,complete,96,97,67,2026-03-04T15:00-08:00,1,P-D
A26-1502,final,complete,82,84,72,2026-03-23T09:20-07:00,2,P-B
A26-6359,screening,complete,82,82,86,2026-03-01T12:00-08:00,1,P-B
A26-1970,screening,complete,55,88,88,2026-03-07T09:00-08:00,1,P-C
A26-2486,screening,complete,69,95,68,2026-03-07T15:00-08:00,1,P-B
A26-5134,screening,complete,81,88,88,2026-03-06T13:00-08:00,1,P-C
A26-5041,screening,complete,67,85,93,2026-03-06T14:00-08:00,1,P-B
A26-6375,final,complete,97,96,71,2026-03-14T11:20-07:00,1,P-A
A26-5108,screening,complete,98,73,85,2026-03-03T11:00-08:00,1,P-C
A26-5153,screening,complete,96,81,93,2026-03-02T12:00-08:00,1,P-B
A26-4430,screening,complete,97,79,71,2026-03-01T16:00-08:00,1,P-D
A26-0536,final,complete,76,89,77,2026-03-20T09:00-07:00,1,P-D
A26-2914,screening,complete,,89,83,2026-03-04T13:00-08:00,1,P-D
A26-5178,final,complete,74,79,91,2026-03-23T16:40-07:00,2,P-D
A26-5003,final,complete,81,95,72,2026-03-12T15:00-07:00,1,P-C
A26-8457,screening,complete,68,65,84,2026-03-03T13:00-08:00,1,P-B
A26-5105,final,complete,90,91,86,2026-03-28T11:00-07:00,1,P-D
A26-9587,final,complete,96,94,77,2026-03-20T14:40-07:00,1,P-D
A26-7380,final,complete,74,74,73,2026-03-09T12:20-07:00,1,P-A
A26-9230,screening,complete,72,72,69,2026-03-03T11:00-08:00,1,P-A
A26-5124,screening,complete,89,99,85,2026-03-01T13:00-08:00,1,P-A
A26-5164,screening,complete,78,70,65,2026-03-01T16:00-08:00,1,P-C
A26-9806,final,complete,74,73,98,2026-03-22T13:20-07:00,1,P-C
A26-4857,screening,complete,61,79,91,2026-03-03T15:00-08:00,1,P-A
A26-7528,final,complete,89,90,72,2026-03-22T11:20-07:00,1,P-B
A26-8689,final,complete,90,97,96,2026-03-19T12:20-07:00,2,P-D
A26-5008,final,complete,89,73,79,2026-03-17T14:20-07:00,1,P-B
A26-3929,final,complete,73,72,88,2026-03-06T16:20-07:00,1,P-B
A26-5011,screening,complete,96,81,72,2026-03-07T09:00-08:00,1,P-D
A26-5112,final,complete,93,76,78,2026-03-16T12:40-07:00,1,P-D
A26-5006,screening,complete,67,94,98,2026-03-05T09:00-08:00,1,P-D
A26-0632,screening,complete,,87,80,2026-03-07T12:00-08:00,1,P-C
A26-5165,final,complete,87,82,98,2026-03-17T15:40-07:00,1,P-D
A26-4531,final,complete,89,80,91,2026-03-22T14:20-07:00,1,P-B
A26-1099,final,complete,90,74,70,2026-03-19T11:20-07:00,1,P-C
A26-3016,final,complete,82,97,92,2026-03-16T11:00-07:00,1,P-B
A26-5104,final,complete,77,97,71,2026-03-22T09:00-07:00,1,P-D
