record_id,period_end,meter_id,raw_kwh,peak_kw,reading_basis,ledger_state,quality_status,record_role,review_cycle,revision_no
R00431,2026-10-17,M-208,5814,766,interval_meter,posted,provisional,operational,OCT-2026,5
R00295,2026-10-10,M-225,2019.81,269.146,interval_meter,posted,approved,operational,OCT-2026,1
R00300,2026-10-10,M-230,2684.476,447.611,interval_meter,posted,approved,operational,OCT-2026,2
R00335,2026-10-24,M-205,1997.276,252.604,interval_meter,posted,approved,operational,OCT-2026,1
R00446,2026-09-12,M-205,5481,739,estimated,posted,approved,operational,BASELINE-2026,5
R00182,2026-09-19,M-202,2807.667,296.561,interval_meter,posted,approved,operational,BASELINE-2026,1
R00423,2026-10-31,M-212,5518,742,interval_meter,posted,provisional,operational,OCT-2026,5
R00134,2026-09-05,M-214,2554.635,367.38,interval_meter,posted,approved,operational,BASELINE-2026,1
R00353,2026-10-24,M-223,3893.442,508.707,interval_meter,posted,approved,operational,OCT-2026,1
R00077,2026-08-22,M-217,2172.569,259.564,interval_meter,posted,approved,operational,BASELINE-2026,1
R00465,2026-10-17,M-190,3500,650,interval_meter,posted,approved,operational,OCT-2026,1
R00420,2026-10-10,M-221,5407,733,interval_meter,posted,approved,reference,OCT-2026,5
R00361,2026-10-31,M-201,3659.267,361.507,interval_meter,posted,approved,operational,OCT-2026,1
R00273,2026-10-10,M-203,1711.727,178.235,interval_meter,posted,approved,operational,OCT-2026,1
R00468,2026-10-03,M-191,3500,650,interval_meter,posted,approved,operational,OCT-2026,1
R00136,2026-09-05,M-216,3167.067,389.485,interval_meter,posted,approved,operational,BASELINE-2026,1
R00378,2026-10-31,M-218,3363.282,496.722,interval_meter,posted,approved,operational,OCT-2026,1
R00472,2026-10-31,M-191,3500,650,interval_meter,posted,approved,operational,OCT-2026,1
R00303,2026-10-17,M-203,1783.8,188.478,interval_meter,posted,approved,operational,OCT-2026,1
R00453,2026-10-03,M-231,4200,610,interval_meter,posted,approved,operational,OCT-2026,1
R00430,2026-10-10,M-201,5777,763,estimated,posted,approved,operational,OCT-2026,5
R00396,2026-10-17,M-213,2142.52,310.678,interval_meter,posted,approved,operational,OCT-2026,1
R00373,2026-10-31,M-213,2090.173,304.229,interval_meter,posted,approved,operational,OCT-2026,1
R00399,2026-10-24,M-222,3063.994,463.096,interval_meter,posted,approved,operational,OCT-2026,1
R00006,2026-08-08,M-206,1903.441,256.933,interval_meter,posted,approved,operational,BASELINE-2026,1
R00307,2026-10-17,M-207,1850.57,239.878,interval_meter,posted,approved,operational,OCT-2026,1
R00355,2026-10-24,M-225,2189.899,300.083,interval_meter,posted,approved,operational,OCT-2026,1
R00477,2026-11-07,M-205,4000,500,interval_meter,posted,approved,operational,NOV-2026,1
R00422,2026-10-24,M-205,5481,739,estimated,posted,approved,operational,OCT-2026,5
R00447,2026-09-19,M-212,5518,742,interval_meter,posted,provisional,operational,BASELINE-2026,5
R00221,2026-09-26,M-211,2566.96,344.806,interval_meter,posted,approved,operational,BASELINE-2026,1
R00188,2026-09-19,M-208,2547.739,344.991,interval_meter,posted,approved,operational,BASELINE-2026,1
R00336,2026-10-24,M-206,2669.678,350.692,interval_meter,posted,approved,operational,OCT-2026,1
R00352,2026-10-24,M-222,2618.798,417.204,interval_meter,posted,approved,operational,OCT-2026,2
R00258,2026-10-03,M-218,2678.72,402.345,interval_meter,posted,approved,operational,OCT-2026,1
R00451,2026-08-22,M-210,5666,754,interval_meter,posted,provisional,operational,BASELINE-2026,5
R00080,2026-08-22,M-220,1255.548,186.309,interval_meter,posted,approved,operational,BASELINE-2026,1
R00049,2026-08-15,M-219,1646.898,240.512,interval_meter,posted,approved,operational,BASELINE-2026,1
R00210,2026-09-19,M-230,2445.83,417.198,interval_meter,posted,approved,operational,BASELINE-2026,1
R00272,2026-10-10,M-202,3055.723,318.179,interval_meter,posted,approved,operational,OCT-2026,1
R00130,2026-09-05,M-210,1937.089,188.102,interval_meter,posted,approved,operational,BASELINE-2026,1
R00315,2026-10-17,M-215,1664.769,257.304,interval_meter,posted,approved,operational,OCT-2026,1
R00144,2026-09-05,M-224,2122.543,330.166,interval_meter,posted,approved,operational,BASELINE-2026,1
R00002,2026-08-08,M-202,2562.336,259.908,interval_meter,posted,approved,operational,BASELINE-2026,1
R00401,2026-08-08,M-201,3359.877,285.171,interval_meter,posted,approved,operational,BASELINE-2026,1
R00153,2026-09-12,M-203,1588.043,167.992,interval_meter,posted,approved,operational,BASELINE-2026,1
R00190,2026-09-19,M-210,1956.08,190.239,interval_meter,posted,approved,operational,BASELINE-2026,1
R00400,2026-10-31,M-205,2563.688,289.063,interval_meter,posted,approved,operational,OCT-2026,1
R00390,2026-10-31,M-230,3193.114,514.495,interval_meter,posted,approved,operational,OCT-2026,1
R00105,2026-08-29,M-215,1528.714,219.143,interval_meter,posted,approved,operational,BASELINE-2026,1
R00263,2026-10-03,M-223,3402.037,424.796,interval_meter,posted,approved,operational,OCT-2026,1
R00440,2026-09-26,M-223,5259,721,interval_meter,posted,approved,reference,BASELINE-2026,5
R00313,2026-10-17,M-213,1831.214,279.89,interval_meter,posted,approved,operational,OCT-2026,2
R00377,2026-10-31,M-217,2405.406,339.152,interval_meter,posted,approved,operational,OCT-2026,1
R00149,2026-09-05,M-229,1067.018,170.232,interval_meter,posted,approved,operational,BASELINE-2026,1
R00125,2026-09-05,M-205,2247.596,208.796,interval_meter,posted,approved,operational,BASELINE-2026,1
R00064,2026-08-22,M-204,2090.918,238.613,interval_meter,posted,approved,operational,BASELINE-2026,1
R00124,2026-09-05,M-204,2154.279,249.976,interval_meter,posted,approved,operational,BASELINE-2026,1
R00118,2026-08-29,M-228,1642.893,261.274,interval_meter,posted,approved,operational,BASELINE-2026,1
R00455,2026-10-17,M-231,4200,610,interval_meter,posted,approved,operational,OCT-2026,1
R00359,2026-10-24,M-229,1228.326,205.949,interval_meter,posted,approved,operational,OCT-2026,1
R00293,2026-10-10,M-223,3591.039,456.263,interval_meter,posted,approved,operational,OCT-2026,1
R00030,2026-08-08,M-230,2232.116,365.634,interval_meter,posted,approved,operational,BASELINE-2026,1
R00244,2026-10-03,M-204,1976.868,252.539,interval_meter,posted,approved,operational,OCT-2026,1
R00337,2026-10-24,M-207,1925.341,252.915,interval_meter,posted,approved,operational,OCT-2026,1
R00065,2026-08-22,M-205,2181.49,199.306,interval_meter,posted,approved,operational,BASELINE-2026,1
R00189,2026-09-19,M-209,2400.424,233.454,interval_meter,posted,approved,operational,BASELINE-2026,1
R00414,2026-10-03,M-209,5185,715,estimated,posted,approved,operational,OCT-2026,5
R00241,2026-10-03,M-201,2914.46,292.821,interval_meter,posted,approved,operational,OCT-2026,1
R00127,2026-09-05,M-207,1489.569,209.053,interval_meter,posted,approved,operational,BASELINE-2026,1
R00201,2026-09-19,M-221,906.772,137.027,interval_meter,posted,approved,operational,BASELINE-2026,1
R00323,2026-10-17,M-223,3742.24,482.485,interval_meter,posted,approved,operational,OCT-2026,1
R00249,2026-10-03,M-209,2349.153,233.198,interval_meter,posted,approved,operational,OCT-2026,1
R00197,2026-09-19,M-217,2260.349,275.015,interval_meter,posted,approved,operational,BASELINE-2026,1
R00475,2026-11-07,M-203,4000,500,interval_meter,posted,approved,operational,NOV-2026,1
R00370,2026-10-31,M-210,2403.51,234.606,interval_meter,posted,approved,operational,OCT-2026,1
R00112,2026-08-29,M-222,2492.669,337.013,interval_meter,posted,approved,operational,BASELINE-2026,1
R00163,2026-09-12,M-213,2003.854,249.468,interval_meter,posted,approved,operational,BASELINE-2026,1
R00347,2026-10-24,M-217,2192.539,328.978,interval_meter,posted,approved,operational,OCT-2026,1
R00256,2026-10-03,M-216,3101.863,393.48,interval_meter,posted,approved,operational,OCT-2026,1
R00185,2026-09-19,M-205,2269.631,211.169,interval_meter,posted,approved,operational,BASELINE-2026,1
R00434,2026-08-15,M-211,5037,703,estimated,posted,approved,operational,BASELINE-2026,5
R00317,2026-10-17,M-217,2107.392,312.02,interval_meter,posted,approved,operational,OCT-2026,1
R00457,2026-10-31,M-231,4200,610,interval_meter,posted,approved,operational,OCT-2026,1
R00316,2026-10-17,M-216,3412.049,446.915,interval_meter,posted,approved,operational,OCT-2026,1
R00093,2026-08-29,M-203,1526.964,160.525,interval_meter,posted,approved,operational,BASELINE-2026,1
R00179,2026-09-12,M-229,1087.94,174.101,interval_meter,posted,approved,operational,BASELINE-2026,1
R00181,2026-09-19,M-201,3146.64,293.142,interval_meter,posted,approved,operational,BASELINE-2026,1
R00008,2026-08-08,M-208,2325.121,302.352,interval_meter,posted,approved,operational,BASELINE-2026,1
R00250,2026-10-03,M-210,1914.3,190.031,interval_meter,posted,approved,operational,OCT-2026,1
R00013,2026-08-08,M-213,1811.175,216.205,interval_meter,posted,approved,operational,BASELINE-2026,1
R00228,2026-09-26,M-218,2809.458,393.735,interval_meter,posted,approved,operational,BASELINE-2026,1
R00095,2026-08-29,M-205,2203.526,204.051,interval_meter,posted,approved,operational,BASELINE-2026,1
R00104,2026-08-29,M-214,2504.545,359.03,interval_meter,posted,approved,operational,BASELINE-2026,1
R00363,2026-10-31,M-203,2036.054,204.868,interval_meter,posted,approved,operational,OCT-2026,1
R00268,2026-10-03,M-228,1685.608,270.092,interval_meter,posted,approved,operational,OCT-2026,1
R00175,2026-09-12,M-225,1625.853,253.678,interval_meter,posted,approved,operational,BASELINE-2026,1
R00234,2026-09-26,M-224,2101.734,326.414,interval_meter,posted,approved,operational,BASELINE-2026,1
R00005,2026-08-08,M-205,2071.314,185.069,interval_meter,posted,approved,operational,BASELINE-2026,1
R00050,2026-08-15,M-220,1230.183,179.655,interval_meter,posted,approved,operational,BASELINE-2026,1
R00236,2026-09-26,M-226,1472.896,223.219,interval_meter,posted,approved,operational,BASELINE-2026,1
R00024,2026-08-08,M-224,1956.069,292.647,interval_meter,posted,approved,operational,BASELINE-2026,1
R00425,2026-10-10,M-226,5592,748,interval_meter,pending,approved,operational,OCT-2026,5
R00327,2026-10-17,M-227,1301.953,211.939,interval_meter,posted,approved,operational,OCT-2026,1
R00388,2026-10-31,M-228,2116.374,333.446,interval_meter,posted,approved,operational,OCT-2026,1
R00459,2026-10-10,M-232,3800,590,interval_meter,posted,approved,operational,OCT-2026,1
R00138,2026-09-05,M-218,2837.274,398.26,interval_meter,posted,approved,operational,BASELINE-2026,1
R00299,2026-10-10,M-229,1132.922,184.717,interval_meter,posted,approved,operational,OCT-2026,1
R00046,2026-08-15,M-216,3011.819,358.504,interval_meter,posted,approved,operational,BASELINE-2026,1
R00233,2026-09-26,M-223,3291.242,415.706,interval_meter,posted,approved,operational,BASELINE-2026,1
R00076,2026-08-22,M-216,3073.918,371.782,interval_meter,posted,approved,operational,BASELINE-2026,1
R00208,2026-09-19,M-228,1692.18,270.388,interval_meter,posted,approved,operational,BASELINE-2026,1
R00082,2026-08-22,M-222,2467.742,329.176,interval_meter,posted,approved,operational,BASELINE-2026,1
R00148,2026-09-05,M-228,1675.751,267.35,interval_meter,posted,approved,operational,BASELINE-2026,1
R00270,2026-10-03,M-230,2543.188,416.741,interval_meter,posted,approved,operational,OCT-2026,1
R00391,2026-10-03,M-208,2682.769,382.52,interval_meter,posted,approved,operational,OCT-2026,1
R00154,2026-09-12,M-204,2196.52,255.657,interval_meter,posted,approved,operational,BASELINE-2026,1
R00143,2026-09-05,M-223,3323.829,420.484,interval_meter,posted,approved,operational,BASELINE-2026,1
R00280,2026-10-10,M-210,2020.65,204.107,interval_meter,posted,approved,operational,OCT-2026,1
R00462,2026-10-31,M-232,3800,590,interval_meter,posted,approved,operational,OCT-2026,1
R00351,2026-10-24,M-221,1187.871,163.915,interval_meter,posted,approved,operational,OCT-2026,1
R00267,2026-10-03,M-227,1183.594,186.599,interval_meter,posted,approved,operational,OCT-2026,1
R00079,2026-08-22,M-219,1680.855,249.42,interval_meter,posted,approved,operational,BASELINE-2026,1
R00009,2026-08-08,M-209,2190.678,204.6,interval_meter,posted,approved,operational,BASELINE-2026,1
R00034,2026-08-15,M-204,2048.677,230.092,interval_meter,posted,approved,operational,BASELINE-2026,1
R00085,2026-08-22,M-225,1547.687,236.766,interval_meter,posted,approved,operational,BASELINE-2026,1
R00070,2026-08-22,M-210,1880.116,179.552,interval_meter,posted,approved,operational,BASELINE-2026,1
R00156,2026-09-12,M-206,2105.935,296.461,interval_meter,posted,approved,operational,BASELINE-2026,1
R00053,2026-08-15,M-223,3160.896,387.037,interval_meter,posted,approved,operational,BASELINE-2026,1
R00406,2026-08-22,M-226,1689.163,239.229,interval_meter,posted,approved,operational,BASELINE-2026,1
R00037,2026-08-15,M-207,1416.551,192.424,interval_meter,posted,approved,operational,BASELINE-2026,1
R00035,2026-08-15,M-205,2137.42,192.188,interval_meter,posted,approved,operational,BASELINE-2026,2
R00199,2026-09-19,M-219,1748.768,264.266,interval_meter,posted,approved,operational,BASELINE-2026,1
R00016,2026-08-08,M-216,2918.67,345.226,interval_meter,posted,approved,operational,BASELINE-2026,1
R00458,2026-10-03,M-232,3800,590,interval_meter,posted,approved,operational,OCT-2026,1
R00245,2026-10-03,M-205,1745.192,210.938,interval_meter,posted,approved,operational,OCT-2026,1
R00060,2026-08-15,M-230,2303.354,379.697,interval_meter,posted,approved,operational,BASELINE-2026,1
R00157,2026-09-12,M-207,1518.776,213.804,interval_meter,posted,approved,operational,BASELINE-2026,1
R00139,2026-09-05,M-219,1731.79,261.297,interval_meter,posted,approved,operational,BASELINE-2026,1
R00146,2026-09-05,M-226,1487.479,225.785,interval_meter,posted,approved,operational,BASELINE-2026,1
R00141,2026-09-05,M-221,897.968,135.488,interval_meter,posted,approved,operational,BASELINE-2026,1
R00456,2026-10-24,M-231,4200,610,interval_meter,posted,approved,operational,OCT-2026,1
R00059,2026-08-15,M-229,1014.713,156.691,interval_meter,posted,approved,operational,BASELINE-2026,1
R00460,2026-10-17,M-232,3800,590,interval_meter,posted,approved,operational,OCT-2026,1
R00292,2026-10-10,M-222,2415.396,374.194,interval_meter,posted,approved,operational,OCT-2026,1
R00183,2026-09-19,M-203,1572.773,166.125,interval_meter,posted,approved,operational,BASELINE-2026,1
R00213,2026-09-26,M-203,1542.234,162.392,interval_meter,posted,approved,operational,BASELINE-2026,1
R00311,2026-10-17,M-211,2641.935,400.196,interval_meter,posted,approved,operational,OCT-2026,1
R00126,2026-09-05,M-206,2065.436,289.873,interval_meter,posted,approved,operational,BASELINE-2026,1
R00410,2026-10-10,M-211,5037,703,estimated,posted,approved,operational,OCT-2026,5
R00310,2026-10-17,M-210,2105.73,215.837,interval_meter,posted,approved,operational,OCT-2026,1
R00283,2026-10-10,M-213,1757.225,264.679,interval_meter,posted,approved,operational,OCT-2026,1
R00254,2026-10-03,M-214,2479.499,371.147,interval_meter,posted,approved,operational,OCT-2026,1
R00429,2026-10-03,M-224,5740,760,interval_meter,pending,approved,operational,OCT-2026,5
R00467,2026-10-31,M-190,3500,650,interval_meter,posted,approved,operational,OCT-2026,1
R00356,2026-10-24,M-226,1396.917,273.157,interval_meter,posted,approved,operational,OCT-2026,1
R00281,2026-10-10,M-211,2535.191,378.446,interval_meter,posted,approved,operational,OCT-2026,1
R00074,2026-08-22,M-214,2479.499,350.681,interval_meter,posted,approved,operational,BASELINE-2026,1
R00155,2026-09-12,M-205,2291.667,213.542,interval_meter,posted,approved,operational,BASELINE-2026,1
R00436,2026-08-29,M-225,5111,709,interval_meter,posted,approved,reference,BASELINE-2026,5
R00471,2026-10-24,M-191,3500,650,interval_meter,posted,approved,operational,OCT-2026,1
R00231,2026-09-26,M-221,889.165,133.948,interval_meter,posted,approved,operational,BASELINE-2026,1
R00100,2026-08-29,M-210,1899.107,183.827,interval_meter,posted,approved,operational,BASELINE-2026,1
R00439,2026-09-19,M-216,5222,718,interval_meter,posted,provisional,operational,BASELINE-2026,5
R00033,2026-08-15,M-203,1481.155,151.192,interval_meter,posted,approved,operational,BASELINE-2026,1
R00387,2026-10-31,M-227,1486.068,230.369,interval_meter,posted,approved,operational,OCT-2026,1
R00294,2026-10-10,M-224,2688.555,358.259,interval_meter,posted,approved,operational,OCT-2026,1
R00091,2026-08-29,M-201,3054.99,283.261,interval_meter,posted,approved,operational,BASELINE-2026,1
R00012,2026-08-08,M-212,2871.69,325.662,interval_meter,posted,approved,operational,BASELINE-2026,1
R00040,2026-08-15,M-210,1842.134,173.139,interval_meter,posted,approved,operational,BASELINE-2026,1
R00438,2026-09-12,M-209,5185,715,estimated,posted,approved,operational,BASELINE-2026,5
R00366,2026-10-31,M-206,2928.87,361.538,interval_meter,posted,approved,operational,OCT-2026,1
R00308,2026-10-17,M-208,2522.262,391.412,interval_meter,posted,approved,operational,OCT-2026,1
R00278,2026-10-10,M-208,2420.352,370.14,interval_meter,posted,approved,operational,OCT-2026,1
R00173,2026-09-12,M-223,3389.002,430.041,interval_meter,posted,approved,operational,BASELINE-2026,1
R00319,2026-10-17,M-219,2201.92,299.825,interval_meter,posted,approved,operational,OCT-2026,1
R00051,2026-08-15,M-221,853.95,124.71,interval_meter,posted,approved,operational,BASELINE-2026,1
R00433,2026-08-08,M-204,5000,700,interval_meter,pending,approved,operational,BASELINE-2026,5
R00426,2026-10-17,M-203,5629,751,estimated,posted,approved,operational,OCT-2026,5
R00078,2026-08-22,M-218,2753.825,380.158,interval_meter,posted,approved,operational,BASELINE-2026,1
R00466,2026-10-24,M-190,3500,650,interval_meter,posted,approved,operational,OCT-2026,1
R00417,2026-10-24,M-230,5296,724,interval_meter,pending,approved,operational,OCT-2026,5
R00019,2026-08-08,M-219,1595.963,231.604,interval_meter,posted,approved,operational,BASELINE-2026,1
R00027,2026-08-08,M-227,1223.958,163.715,interval_meter,posted,approved,operational,BASELINE-2026,1
R00240,2026-09-26,M-230,2398.338,407.823,interval_meter,posted,approved,operational,BASELINE-2026,1
R00096,2026-08-29,M-206,2024.938,283.285,interval_meter,posted,approved,operational,BASELINE-2026,1
R00186,2026-09-19,M-206,2085.686,293.167,interval_meter,posted,approved,operational,BASELINE-2026,1
R00450,2026-08-15,M-203,5629,751,estimated,posted,approved,operational,BASELINE-2026,5
R00026,2026-08-08,M-226,1370.814,200.127,interval_meter,posted,approved,operational,BASELINE-2026,1
R00364,2026-10-31,M-204,2482.068,311.777,interval_meter,posted,approved,operational,OCT-2026,1
R00147,2026-09-05,M-227,1328.125,184.704,interval_meter,posted,approved,operational,BASELINE-2026,1
R00044,2026-08-15,M-214,2429.408,338.156,interval_meter,posted,approved,operational,BASELINE-2026,1
R00036,2026-08-15,M-206,1964.19,266.815,interval_meter,posted,approved,operational,BASELINE-2026,1
